,DT,DO,DH,DL,DC,DV
46,1701973800,20934.1,21006.099609375,20862.69921875,20969.400390625,
47,1702233000,20965.3,21026.099609375,20923.69921875,20997.099609375,
48,1702319400,21018.55,21037.900390625,20867.150390625,20906.400390625,
49,1702405800,20929.75,20950.0,20769.5,20926.349609375,
50,1702492200,21110.4,21210.900390625,21074.44921875,21182.69921875,
51,1702578600,21287.45,21492.30078125,21235.30078125,21456.650390625,
52,1702837800,21434.8,21482.80078125,21365.349609375,21418.650390625,
53,1702924200,21477.65,21505.05078125,21337.75,21453.099609375,
54,1703010600,21543.5,21593.0,21087.349609375,21150.150390625,
55,1703097000,21033.95,21288.349609375,20976.80078125,21255.05078125,
56,1703183400,21295.85,21390.5,21232.44921875,21349.400390625,
57,1703529000,21365.2,21477.150390625,21329.44921875,21441.349609375,
58,1703615400,21497.65,21675.75,21495.80078125,21654.75,
59,1703701800,21715.0,21801.44921875,21678.0,21778.69921875,
60,1703788200,21737.65,21770.30078125,21676.900390625,21731.400390625,
61,1704047400,21727.75,21834.349609375,21680.849609375,21741.900390625,
62,1704133800,21751.35,21755.599609375,21555.650390625,21665.80078125,
63,1704220200,21661.1,21677.0,21500.349609375,21517.349609375,
64,1704306600,21605.8,21685.650390625,21564.55078125,21658.599609375,
65,1704393000,21705.75,21749.599609375,21629.19921875,21710.80078125,
66,1704652200,21747.6,21763.94921875,21492.900390625,21513.0,
67,1704738600,21653.6,21724.44921875,21517.849609375,21544.849609375,
68,1704825000,21529.3,21641.849609375,21448.650390625,21618.69921875,
69,1704911400,21688.0,21726.5,21593.75,21647.19921875,
70,1704997800,21773.55,21928.25,21715.150390625,21894.55078125,
71,1705257000,22053.15,22115.55078125,21963.55078125,22097.44921875,
72,1705343400,22080.5,22124.150390625,21969.80078125,22032.30078125,
73,1705429800,21647.25,21851.5,21550.44921875,21571.94921875,
74,1705516200,21414.2,21539.400390625,21285.55078125,21462.25,
75,1705602600,21615.2,21670.599609375,21575.0,21622.400390625,
76,1705689000,21706.15,21720.30078125,21541.80078125,21571.80078125,
77,1705948200,21716.7,21750.25,21192.599609375,21238.80078125,
78,1706034600,21185.25,21482.349609375,21137.19921875,21453.94921875,
79,1706121000,21454.6,21459.0,21247.05078125,21352.599609375,
80,1706466600,21433.1,21763.25,21429.599609375,21737.599609375,
81,1706553000,21775.75,21813.05078125,21501.80078125,21522.099609375,
82,1706639400,21487.25,21741.349609375,21448.849609375,21725.69921875,
83,1706725800,21780.65,21832.94921875,21658.75,21697.44921875,
84,1706812200,21812.75,22126.80078125,21805.55078125,21853.80078125,
85,1707071400,21921.05,21964.30078125,21726.94921875,21771.69921875,
86,1707157800,21825.2,21951.400390625,21737.55078125,21929.400390625,
87,1707244200,22045.05,22053.30078125,21860.150390625,21930.5,
88,1707330600,22009.65,22011.05078125,21665.30078125,21717.94921875,
89,1707417000,21727.0,21804.44921875,21629.900390625,21782.5,
90,1707676200,21800.8,21831.69921875,21574.75,21616.05078125,
91,1707762600,21664.3,21766.80078125,21543.349609375,21743.25,
92,1707849000,21578.15,21870.849609375,21530.19921875,21840.05078125,
93,1707935400,21906.55,21953.849609375,21794.80078125,21910.75,
94,1708021800,22020.3,22068.650390625,21968.94921875,22040.69921875,
95,1708281000,22103.45,22186.650390625,22021.05078125,22122.25,
96,1708367400,22099.2,22215.599609375,22045.849609375,22196.94921875,
97,1708453800,22248.85,22249.400390625,21997.94921875,22055.05078125,
98,1708540200,22081.55,22252.5,21875.25,22217.44921875,
99,1708626600,22290.0,22297.5,22186.099609375,22212.69921875,
100,1708885800,22169.2,22202.150390625,22075.150390625,22122.05078125,
101,1708972200,22090.2,22218.25,22085.650390625,22198.349609375,
102,1709058600,22214.1,22229.150390625,21915.849609375,21951.150390625,
103,1709145000,21935.2,22060.55078125,21860.650390625,21982.80078125,
104,1709231400,22048.3,22353.30078125,22047.75,22338.75,
105,1709317800,22406.95,22419.55078125,22367.05078125,22378.400390625,
106,1709490600,22403.5,22440.900390625,22358.30078125,22405.599609375,
107,1709577000,22371.25,22416.900390625,22269.150390625,22356.30078125,
108,1709663400,22327.5,22497.19921875,22224.349609375,22474.05078125,
109,1709749800,22505.3,22525.650390625,22430.0,22493.55078125,
110,1710095400,22517.5,22526.599609375,22307.25,22332.650390625,
111,1710181800,22334.45,22452.55078125,22256.0,22335.69921875,
112,1710268200,22432.2,22446.75,21905.650390625,21997.69921875,
113,1710354600,21982.55,22204.599609375,21917.5,22146.650390625,
114,1710441000,22064.85,22120.900390625,21931.69921875,22023.349609375,
115,1710700200,21990.1,22123.69921875,21916.55078125,22055.69921875,
116,1710786600,21946.45,21978.30078125,21793.099609375,21817.44921875,
117,1710873000,21843.9,21930.900390625,21710.19921875,21839.099609375,
118,1710959400,21989.9,22080.94921875,21941.30078125,22011.94921875,
119,1711045800,21932.2,22180.69921875,21883.30078125,22096.75,
120,1711391400,21947.9,22073.19921875,21947.55078125,22004.69921875,
121,1711477800,22053.95,22193.599609375,22052.849609375,22123.650390625,
122,1711564200,22163.6,22516.0,22163.599609375,22326.900390625,
123,1711909800,22455.0,22529.94921875,22427.75,22462.0,
124,1711996200,22458.8,22497.599609375,22388.150390625,22453.30078125,
125,1712082600,22385.7,22521.099609375,22346.5,22434.650390625,
126,1712169000,22592.1,22619.0,22303.80078125,22514.650390625,
127,1712255400,22486.4,22537.599609375,22427.599609375,22513.69921875,
128,1712514600,22578.35,22697.30078125,22550.349609375,22666.30078125,
129,1712601000,22765.1,22768.400390625,22612.25,22642.75,
130,1712687400,22720.25,22775.69921875,22673.69921875,22753.80078125,
131,1712860200,22677.4,22726.44921875,22503.75,22519.400390625,
132,1713119400,22339.05,22427.44921875,22259.55078125,22272.5,
133,1713205800,22125.3,22213.75,22079.44921875,22147.900390625,
134,1713378600,22212.35,22326.5,21961.7,21995.85,
135,1713465000,21861.5,22179.55,21777.65,22147.0,
136,1713724200,22336.9,22375.65,22198.15,22336.4,
137,1713810600,22447.05,22447.55,22349.45,22368.0,
138,1713897000,22421.55,22476.45,22384.0,22402.4,
139,1713983400,22316.9,22625.95,22305.25,22570.35,
140,1714069800,22620.4,22620.4,22385.55,22419.95,
141,1714329000,22475.55,22655.8,22441.9,22643.4,
142,1714415400,22679.65,22783.35,22568.4,22604.85,
143,1714588200,22567.85,22710.5,22567.85,22648.2,
144,1714674600,22766.35,22794.7,22348.05,22475.85,
145,1714933800,22561.6,22588.8,22409.45,22442.7,
146,1715020200,22489.75,22499.05,22232.05,22302.5,
147,1715106600,22231.2,22368.65,22185.2,22302.5,
148,1715193000,22224.8,22307.75,21932.4,21957.5,
149,1715279400,21990.95,22131.3,21950.3,22055.2,
150,1715538600,22027.95,22131.65,21821.05,22104.05,
151,1715625000,22112.9,22270.05,22081.25,22217.85,
152,1715711400,22255.6,22297.55,22151.75,22200.55,
153,1715797800,22319.2,22432.25,22054.55,22403.85,
154,1715884200,22415.25,22502.15,22345.65,22466.1,
155,1715970600,22512.85,22520.25,22470.05,22502.0,
156,1716229800,22404.55,22591.1,22404.55,22529.05,
157,1716316200,22576.6,22629.5,22483.15,22597.8,
158,1716402600,22614.1,22993.6,22577.45,22967.65,
159,1716489000,22930.75,23026.4,22908.0,22957.1,
160,1716748200,23038.95,23110.8,22871.2,22932.45,
161,1716834600,22977.15,22998.55,22858.5,22888.15,
162,1716921000,22762.75,22825.5,22685.45,22704.7,
163,1717007400,22617.45,22705.75,22417.0,22488.65,
164,1717093800,22568.1,22653.75,22465.1,22530.7,
165,1717353000,23337.9,23338.7,23062.3,23263.9,
166,1717439400,23179.5,23179.5,21281.45,21884.5,
167,1717525800,22128.35,22670.4,21791.95,22620.35,
168,1717612200,22798.6,22910.15,22642.6,22821.4,
169,1717698600,22821.85,23320.2,22789.05,23290.15,
170,1717957800,23319.15,23411.9,23227.15,23259.2,
171,1718044200,23283.75,23389.45,23206.65,23264.85,
172,1718130600,23344.45,23441.95,23295.95,23322.95,
173,1718217000,23480.95,23481.05,23353.9,23398.9,
174,1718303400,23464.95,23490.4,23334.25,23465.6,
175,1718649000,23570.8,23579.05,23499.7,23557.9,
176,1718735400,23629.85,23664.0,23412.9,23516.0,
177,1718821800,23586.15,23624.0,23442.6,23567.0,
178,1718908200,23661.15,23667.1,23398.2,23501.1,
179,1719167400,23382.3,23558.1,23350.0,23537.85,
180,1719253800,23577.1,23754.15,23562.05,23721.3,
181,1719340200,23723.1,23889.9,23670.45,23868.8,
182,1719426600,23881.55,24087.45,23805.4,24044.5,
183,1719513000,24085.9,24174.0,23985.8,24010.6,
184,1719772200,23992.95,24164.0,23992.7,24141.95,
185,1719858600,24228.75,24236.35,24056.4,24123.85,
186,1719945000,24291.75,24309.15,24207.1,24286.5,
187,1720031400,24369.95,24401.0,24281.0,24302.15,
188,1720117800,24213.35,24363.0,24168.85,24323.85,
189,1720377000,24329.45,24344.6,24240.55,24320.55,
190,1720463400,24351.0,24443.6,24331.9,24433.2,
191,1720549800,24459.85,24461.05,24141.8,24324.45,
192,1720636200,24396.55,24402.65,24193.75,24315.95,
193,1720722600,24387.95,24592.2,24331.15,24502.15,
194,1720981800,24587.6,24635.05,24522.75,24586.7,
195,1721068200,24615.9,24661.25,24587.65,24613.0,
196,1721241000,24543.8,24837.75,24504.45,24800.85,
197,1721327400,24853.8,24854.8,24508.15,24530.9,
198,1721586600,24445.75,24595.2,24362.3,24509.25,
199,1721673000,24568.9,24582.55,24074.2,24479.05,
200,1721759400,24444.95,24504.25,24307.25,24413.5,
201,1721845800,24230.95,24426.15,24210.8,24406.1,
202,1721932200,24423.35,24861.15,24410.9,24834.85,
203,1722191400,24943.3,24999.75,24774.6,24836.1,
204,1722277800,24839.4,24971.75,24798.65,24857.3,
205,1722364200,24886.7,24984.6,24856.5,24951.15,
206,1722450600,25030.95,25078.3,24956.4,25010.9,
207,1722537000,24789.0,24851.9,24686.85,24717.7,
208,1722796200,24302.85,24350.05,23893.7,24055.6,
209,1722882600,24189.85,24382.6,23960.4,23992.55,
210,1722969000,24289.4,24337.7,24184.9,24297.5,
211,1723055400,24248.55,24340.5,24079.7,24117.0,
212,1723141800,24386.85,24419.75,24311.2,24367.5,
213,1723401000,24320.05,24472.8,24212.1,24347.0,
214,1723487400,24342.35,24359.95,24116.5,24139.0,
215,1723573800,24184.4,24196.5,24099.7,24143.75,
216,1723746600,24334.85,24563.9,24204.5,24541.15,
217,1724005800,24636.35,24638.8,24522.95,24572.65,
218,1724092200,24648.9,24734.3,24607.2,24698.85,
219,1724178600,24680.55,24787.95,24654.5,24770.2,
220,1724265000,24863.4,24867.35,24784.45,24811.5,
221,1724351400,24845.4,24858.4,24771.65,24823.15,
222,1724610600,24906.1,25043.8,24874.7,25010.6,
223,1724697000,25024.8,25073.1,24973.65,25017.75,
224,1724783400,25030.8,25129.6,24964.65,25052.35,
225,1724869800,25035.3,25192.9,24998.5,25151.95,
226,1724956200,25249.7,25268.35,25199.4,25235.9,
227,1725215400,25333.6,25333.65,25235.5,25278.7,
228,1725301800,25313.4,25321.7,25235.8,25279.85,
229,1725388200,25089.95,25216.0,25083.8,25198.7,
230,1725474600,25250.5,25275.45,25127.75,25145.1,
231,1725561000,25093.7,25168.75,24801.3,24852.15,
232,1725820200,24823.4,24957.5,24753.15,24936.4,
233,1725906600,24999.4,25130.5,24896.8,25041.1,
234,1725993000,25034.0,25113.7,24885.15,24918.45,
235,1726079400,25059.65,25433.35,24941.45,25388.9,
236,1726165800,25430.45,25430.5,25292.45,25356.5,
237,1726425000,25406.65,25445.7,25336.2,25383.75,
238,1726511400,25416.9,25441.65,25352.25,25418.55,
239,1726597800,25402.4,25482.2,25285.55,25377.55,
240,1726684200,25487.05,25611.95,25376.05,25415.8,
241,1726770600,25525.95,25849.25,25426.6,25790.95,
242,1727029800,25872.55,25956.0,25847.35,25939.05,
243,1727116200,25921.45,26011.55,25886.85,25940.4,
244,1727202600,25899.45,26032.8,25871.35,26004.15,
245,1727289000,26005.4,26250.9,25998.4,26216.05,
246,1727375400,26248.25,26277.35,26151.4,26178.95,
247,1727634600,26061.3,26134.7,25794.1,25810.85,
248,1727721000,25788.45,25907.6,25739.2,25796.9,
249,1727893800,25452.85,25639.45,25230.3,25250.1,
250,1727980200,25181.9,25485.05,24966.8,25014.6,
251,1728239400,25084.1,25143.0,24694.35,24795.75,
252,1728325800,24832.2,25044.0,24756.8,25013.15,
253,1728412200,25065.8,25234.05,24947.7,24981.95,
254,1728498600,25067.05,25134.05,24979.4,24998.45,
255,1728585000,24985.3,25028.65,24920.05,24964.25,
256,1728844200,25023.45,25159.75,25017.5,25127.95,
257,1728930600,25186.3,25212.05,25008.15,25057.35,
258,1729017000,25008.55,25093.4,24908.45,24971.3,
259,1729103400,25027.4,25029.5,24728.9,24749.85,
260,1729189800,24664.95,24886.2,24567.65,24854.05,
261,1729449000,24956.15,24978.3,24679.6,24781.1,
262,1729535400,24798.65,24882.0,24445.8,24472.1,
263,1729621800,24378.15,24604.25,24378.1,24435.5,
264,1729708200,24412.7,24480.65,24341.2,24399.4,
265,1729794600,24418.05,24440.25,24073.9,24180.8,
266,1730053800,24251.1,24492.6,24134.9,24339.15,
267,1730140200,24328.85,24484.5,24140.85,24466.85,
268,1730226600,24371.45,24498.2,24307.3,24340.85,
269,1730313000,24349.85,24372.45,24172.6,24205.35,
270,1730399400,24302.75,24368.25,24280.2,24299.55,
271,1730658600,24315.75,24316.75,23816.15,23995.35,
272,1730745000,23916.5,24229.05,23842.75,24213.3,
273,1730831400,24308.75,24537.6,24204.05,24484.05,
274,1730917800,24489.6,24503.35,24179.05,24199.35,
275,1731004200,24207.7,24276.15,24066.65,24148.2,
276,1731263400,24087.25,24336.8,24004.6,24141.3,
277,1731349800,24225.8,24242.0,23839.15,23883.45,
278,1731436200,23822.45,23873.6,23509.6,23559.05,
279,1731522600,23542.15,23675.9,23484.15,23532.7,
280,1731868200,23605.3,23606.8,23350.4,23453.8,
281,1731987900,23529.55,23742.8,23523.65,23741.1,
