,DT,LO,LH,LL,LC,LV,MO,MH,ML,MC
0,1731298200,15.45,15.45,15.45,15.45,,24124.85,24125.9,24098.35,24098.35
1,1731298260,14.65,15.0,14.25,14.3,8775.0,24097.35,24108.55,24097.35,24104.1
2,1731298320,14.15,14.3,13.75,14.25,9425.0,24105.0,24114.3,24099.3,24102.45
3,1731298500,12.8,12.8,12.8,12.8,9450.0,24144.4,24146.95,24136.3,24146.45
4,1731298560,13.2,13.2,13.2,13.2,9525.0,24145.95,24147.35,24128.4,24132.25
5,1731298620,13.4,13.4,13.3,13.3,9625.0,24132.65,24136.85,24130.9,24136.1
6,1731298800,11.8,11.8,11.55,11.6,10050.0,24171.75,24171.8,24159.25,24162.2
7,1731298920,11.5,11.5,11.5,11.5,10125.0,24164.5,24164.5,24149.15,24150.7
8,1731299100,11.6,11.7,11.6,11.7,10225.0,24159.85,24160.15,24149.15,24150.35
9,1731299220,10.9,10.9,10.9,10.9,10550.0,24145.45,24172.25,24145.45,24172.25
10,1731299280,10.55,11.15,10.35,11.15,12025.0,24172.45,24178.5,24171.4,24174.0
11,1731299340,11.2,11.25,11.2,11.25,12325.0,24173.95,24174.35,24157.75,24159.15
12,1731299400,11.5,11.5,10.8,10.8,13475.0,24158.9,24161.95,24152.6,24155.4
13,1731299580,11.6,11.6,11.6,11.6,13500.0,24139.9,24147.3,24133.8,24143.35
14,1731299640,11.55,11.85,11.5,11.85,13650.0,24143.25,24145.45,24134.4,24135.3
15,1731299700,11.9,11.9,11.5,11.5,13800.0,24135.55,24150.7,24133.5,24150.7
16,1731300060,11.7,11.7,11.7,11.7,13875.0,24140.15,24141.25,24128.0,24129.85
17,1731300420,12.2,12.2,12.2,12.2,14200.0,24116.8,24122.0,24111.8,24121.95
18,1731300780,11.15,11.15,11.0,11.0,14375.0,24141.7,24146.9,24138.25,24138.25
19,1731300840,10.5,10.5,10.5,10.5,14450.0,24138.9,24159.05,24138.25,24157.05
20,1731300900,10.4,10.4,10.4,10.4,14525.0,24157.35,24168.85,24155.1,24166.7
21,1731301020,10.3,10.3,9.85,9.85,15650.0,24169.8,24198.55,24169.5,24198.55
22,1731301080,9.8,10.45,9.8,9.9,16575.0,24199.45,24211.15,24199.45,24211.15
23,1731301140,9.05,9.05,9.0,9.0,16800.0,24212.15,24223.85,24211.05,24223.85
24,1731301200,9.65,9.8,9.65,9.8,17050.0,24224.8,24232.75,24221.95,24225.15
25,1731301320,9.15,9.15,9.05,9.05,17450.0,24231.6,24238.05,24223.4,24225.25
26,1731301380,9.25,9.25,8.95,9.2,17650.0,24224.85,24225.8,24218.85,24222.45
27,1731301560,9.15,9.15,9.15,9.15,17775.0,24225.85,24242.6,24225.4,24235.15
28,1731301620,8.85,8.85,8.85,8.85,18275.0,24234.35,24241.7,24229.15,24236.05
29,1731301800,7.8,7.8,7.8,7.8,18300.0,24252.2,24260.3,24251.1,24258.95
30,1731301860,7.75,7.75,7.75,7.75,18375.0,24258.8,24263.55,24252.85,24263.55
31,1731301980,7.95,7.95,7.95,7.95,18500.0,24248.0,24252.05,24237.45,24239.9
32,1731302040,8.35,8.35,8.35,8.35,19000.0,24238.75,24241.85,24234.15,24239.45
33,1731302100,8.25,8.25,8.15,8.15,19425.0,24237.65,24251.45,24237.65,24251.45
34,1731302160,8.05,8.3,8.05,8.3,19950.0,24251.05,24251.55,24231.0,24235.1
35,1731302220,8.35,8.35,8.35,8.35,20100.0,24231.85,24241.4,24229.45,24239.2
36,1731302580,8.65,8.65,8.6,8.6,20175.0,24232.7,24236.7,24226.7,24235.05
37,1731302640,8.55,8.6,8.55,8.6,20250.0,24235.25,24243.2,24235.1,24241.85
38,1731302700,8.45,8.45,8.45,8.45,20275.0,24241.5,24253.95,24241.3,24251.8
39,1731302940,8.5,8.5,8.5,8.5,20300.0,24255.0,24265.8,24253.3,24264.75
40,1731303720,7.9,7.9,7.9,7.9,20875.0,24279.4,24291.15,24277.1,24290.75
41,1731303780,8.1,8.1,8.1,8.1,20950.0,24291.1,24302.75,24291.0,24300.65
42,1731303840,7.95,8.45,7.65,7.7,22175.0,24301.75,24312.05,24300.25,24309.65
43,1731303900,7.8,7.8,7.8,7.8,22250.0,24309.35,24318.1,24309.25,24317.2
44,1731303960,7.8,7.8,7.8,7.8,22575.0,24316.6,24325.9,24314.35,24321.75
45,1731304380,7.7,7.8,7.7,7.7,22850.0,24316.15,24318.45,24311.1,24317.65
46,1731304440,7.65,7.7,7.6,7.6,23250.0,24318.25,24318.35,24311.05,24316.95
47,1731304500,7.7,7.7,7.7,7.7,23500.0,24316.5,24316.9,24306.1,24306.75
48,1731304620,8.2,8.2,8.2,8.2,23625.0,24304.5,24306.4,24298.5,24299.75
49,1731304680,7.8,7.8,7.8,7.8,23650.0,24299.4,24317.25,24299.4,24314.05
50,1731304740,7.95,7.95,7.85,7.85,24125.0,24314.1,24316.95,24310.75,24311.3
51,1731304800,7.75,7.75,7.75,7.75,24250.0,24311.7,24313.9,24309.55,24313.55
52,1731304860,7.7,7.7,7.7,7.7,24325.0,24313.6,24316.55,24311.75,24313.7
53,1731305040,7.8,7.8,7.8,7.8,24350.0,24315.5,24316.75,24311.65,24315.95
54,1731305100,7.75,7.75,7.75,7.75,24375.0,24316.3,24321.25,24314.9,24319.45
55,1731305220,7.8,7.95,7.8,7.8,24800.0,24321.7,24322.25,24310.6,24310.6
56,1731305280,7.95,7.95,7.95,7.95,24925.0,24311.4,24315.05,24309.65,24312.8
57,1731305340,7.85,8.05,7.85,8.0,27350.0,24312.2,24316.3,24311.05,24311.05
