,DT,LO,LH,LL,LC,LV,MO,MH,ML,MC
0,1730865180,571.55,571.55,571.55,571.55,,24207.25,24233.05,24206.6,24229.2
1,1730865240,571.55,571.55,571.55,571.55,25.0,24229.05,24267.3,24229.05,24265.25
2,1730865720,643.75,643.75,643.75,643.75,50.0,24338.45,24338.45,24324.8,24331.65
3,1730866080,631.95,631.95,631.95,631.95,,24316.6,24327.4,24315.45,24325.2
4,1730866140,631.95,631.95,631.95,631.95,75.0,24325.7,24342.8,24325.65,24336.75
5,1730866800,676.15,676.15,676.15,676.15,,24386.4,24388.65,24381.15,24383.45
6,1730866860,676.15,676.15,676.15,676.15,100.0,24384.9,24396.45,24383.55,24387.4
7,1730882940,800.0,800.0,800.0,800.0,,24500.3,24508.35,24499.6,24506.1
8,1730883000,800.0,800.0,800.0,800.0,125.0,24506.25,24510.5,24505.95,24508.4
9,1730955300,543.4,543.4,540.0,540.0,,24229.8,24237.1,24222.55,24222.55
10,1730955360,536.45,537.85,536.05,537.3,,24222.7,24222.7,24212.9,24214.05
11,1730955420,524.15,524.15,524.15,524.15,1975.0,24213.55,24213.55,24188.9,24196.1
12,1730955480,524.15,524.15,524.15,524.15,2000.0,24196.2,24197.65,24193.05,24194.95
13,1730958960,520.0,520.0,520.0,520.0,,24203.25,24212.0,24199.95,24211.7
14,1730959020,520.0,520.0,520.0,520.0,2050.0,24211.3,24216.1,24210.15,24214.05
15,1730961000,524.35,524.35,524.35,524.35,,24205.05,24206.95,24199.45,24203.8
16,1730961060,524.35,524.35,524.35,524.35,2075.0,24202.2,24212.1,24201.65,24206.9
17,1730968200,520.0,520.0,520.0,520.0,2100.0,24208.0,24216.6,24208.0,24213.15
18,1730973360,512.7,512.7,512.6,512.6,2600.0,24209.0,24210.25,24201.75,24202.0
19,1730973540,507.2,507.2,507.2,507.2,,24192.3,24197.1,24189.75,24194.6
20,1731037500,477.55,477.55,477.55,477.55,100.0,24207.7,24220.45,24122.25,24125.9
21,1731037620,422.6,422.6,422.6,422.6,125.0,24116.8,24116.8,24090.85,24109.6
22,1731037980,426.35,426.35,426.35,426.35,225.0,24077.4,24086.55,24076.5,24083.15
23,1731038040,431.8,433.85,431.8,433.85,425.0,24083.2,24094.4,24074.25,24091.55
24,1731038100,436.4,436.4,436.4,436.4,450.0,24092.5,24148.85,24092.5,24148.85
25,1731038820,473.45,473.45,473.45,473.45,950.0,24155.3,24161.4,24141.2,24155.35
26,1731039060,502.45,507.75,495.1,495.1,1050.0,24159.25,24196.95,24159.0,24179.25
27,1731039300,535.95,535.95,535.95,535.95,1100.0,24183.3,24253.5,24183.3,24252.25
28,1731039360,558.9,558.9,551.45,551.45,1625.0,24257.05,24266.8,24246.35,24263.35
29,1731039420,564.9,573.0,564.9,573.0,1700.0,24262.3,24275.2,24253.7,24263.1
30,1731039480,564.9,564.9,564.9,564.9,1725.0,24263.45,24264.5,24248.7,24248.7
31,1731039600,544.45,544.45,544.45,544.45,1750.0,24247.35,24248.45,24227.7,24230.25
32,1731039660,533.95,533.95,533.95,533.95,1825.0,24229.95,24230.5,24206.1,24213.45
33,1731040020,507.9,507.9,507.9,507.9,1850.0,24188.7,24190.4,24173.8,24178.2
34,1731040380,489.95,489.95,489.95,489.95,1875.0,24169.05,24176.9,24167.0,24175.9
35,1731040800,510.0,510.0,510.0,510.0,1925.0,24197.4,24200.05,24185.4,24185.7
36,1731041160,501.5,501.5,501.5,501.5,2375.0,24193.05,24203.55,24184.4,24203.45
37,1731041280,504.0,505.9,504.0,505.9,2475.0,24200.4,24205.95,24199.55,24204.85
38,1731041400,508.35,508.35,508.35,508.35,2500.0,24202.65,24212.45,24201.9,24212.45
39,1731041880,487.95,487.95,487.95,487.95,2550.0,24182.75,24191.15,24182.05,24186.9
40,1731043800,476.95,476.95,476.95,476.95,2600.0,24169.45,24173.25,24166.9,24171.5
41,1731045840,446.55,446.55,441.0,441.0,2725.0,24145.8,24146.15,24139.75,24142.45
42,1731046680,433.05,433.05,433.05,433.05,2775.0,24140.95,24142.75,24138.1,24141.25
43,1731046740,433.9,434.15,433.9,434.15,2850.0,24141.15,24143.65,24139.65,24141.35
44,1731046860,424.05,424.05,424.05,424.05,2900.0,24138.0,24140.55,24131.2,24131.2
45,1731047040,418.75,418.75,418.75,418.75,2950.0,24128.95,24129.1,24118.0,24120.15
46,1731047100,417.0,417.0,417.0,417.0,2975.0,24120.3,24122.8,24114.55,24115.05
47,1731047160,416.1,416.1,416.1,416.1,3025.0,24115.15,24119.2,24112.3,24115.35
48,1731047280,412.5,412.5,412.5,412.5,3525.0,24114.5,24119.4,24111.15,24118.2
49,1731047520,408.6,408.6,408.6,408.6,3575.0,24110.75,24116.95,24105.75,24114.85
50,1731047580,411.55,411.55,411.55,411.55,3625.0,24114.95,24114.95,24108.9,24113.0
51,1731047820,406.55,406.55,406.55,406.55,3725.0,24114.45,24115.0,24109.4,24111.2
52,1731048480,419.45,419.45,419.45,419.45,3800.0,24122.55,24130.8,24120.2,24130.45
53,1731048600,419.3,419.3,419.3,419.3,3850.0,24129.25,24130.65,24124.2,24128.05
54,1731049500,435.9,435.9,435.9,435.9,3900.0,24140.1,24143.7,24138.1,24139.95
55,1731051360,439.65,439.65,439.65,439.65,3975.0,24145.15,24145.9,24141.05,24144.4
56,1731051840,461.6,461.6,461.6,461.6,4000.0,24166.4,24171.65,24164.55,24169.1
57,1731052560,471.7,471.7,471.7,471.7,4100.0,24182.65,24182.8,24173.05,24174.45
58,1731052740,468.15,468.15,468.15,468.15,4150.0,24172.35,24177.65,24170.35,24176.1
59,1731053100,457.55,457.55,457.55,457.55,4200.0,24168.2,24168.3,24158.35,24162.3
60,1731053640,452.95,452.95,452.95,452.95,4225.0,24147.1,24156.4,24147.1,24151.9
61,1731054120,459.95,459.95,459.0,459.0,4325.0,24161.0,24166.4,24159.75,24166.4
62,1731055680,431.65,431.65,431.65,431.65,4375.0,24135.4,24136.55,24130.75,24132.1
63,1731055740,432.05,432.05,432.05,432.05,4400.0,24132.0,24133.8,24128.4,24129.8
64,1731055860,433.15,433.15,433.15,433.15,4425.0,24130.0,24135.1,24128.65,24131.9
65,1731056460,431.15,431.15,431.15,431.15,4450.0,24135.85,24137.05,24131.35,24134.75
66,1731056700,420.05,420.05,420.05,420.05,4500.0,24127.95,24132.85,24125.0,24130.55
67,1731056880,431.85,431.85,431.85,431.85,4525.0,24135.15,24143.1,24133.75,24138.1
68,1731057000,429.9,429.9,429.9,429.9,4550.0,24140.8,24141.7,24137.3,24139.9
