,DT,LO,LH,LL,LC,LV,MO,MH,ML,MC
0,1730869560,925.0,925.0,925.0,925.0,,24312.6,24318.9,24312.3,24312.35
1,1730869620,925.0,925.0,925.0,925.0,300.0,24311.7,24320.85,24305.75,24317.2
2,1730870220,938.1,938.1,938.1,938.1,325.0,24317.4,24319.7,24310.65,24313.85
3,1730871540,971.95,971.95,971.95,971.95,,24352.4,24357.1,24352.4,24356.4
4,1730871600,971.95,971.95,971.95,971.95,575.0,24356.55,24366.6,24356.55,24364.35
5,1730871660,979.95,981.0,979.95,981.0,625.0,24364.9,24366.8,24361.5,24364.55
6,1730871720,981.0,981.0,981.0,981.0,675.0,24363.6,24367.75,24359.5,24367.25
7,1730876760,1050.0,1050.0,1050.0,1050.0,700.0,24438.15,24438.55,24432.5,24434.4
8,1730881140,1072.9,1072.9,1072.9,1072.9,,24469.95,24469.95,24466.15,24467.0
9,1730881260,1072.9,1072.9,1072.9,1072.9,750.0,24469.7,24473.9,24468.2,24472.2
10,1730884260,1058.4,1058.4,1058.4,1058.4,,24468.5,24470.85,24455.2,24465.45
11,1730884320,1058.4,1058.4,1058.4,1058.4,1050.0,24464.15,24476.35,24463.55,24471.3
12,1730886840,1086.1,1086.1,1086.1,1086.1,,24490.25,24496.25,24488.75,24496.25
13,1730886900,1086.1,1086.1,1086.1,1086.1,1100.0,24495.4,24495.55,24489.5,24493.9
14,1730887140,1086.1,1086.1,1086.1,1086.1,1150.0,24497.2,24500.25,24487.25,24493.9
15,1730951640,1016.5,1016.5,1016.5,1016.5,100.0,24407.6,24410.1,24395.6,24397.1
16,1730952360,966.5,966.5,966.5,966.5,,24357.1,24362.95,24342.95,24342.95
17,1730952420,950.0,950.0,950.0,950.0,225.0,24343.35,24365.75,24338.35,24348.45
18,1730953440,950.0,950.0,950.0,950.0,275.0,24341.6,24342.9,24339.2,24339.4
19,1730953740,900.0,900.0,900.0,900.0,,24293.8,24298.85,24278.25,24279.8
20,1730953800,900.0,900.0,900.0,900.0,375.0,24279.85,24280.25,24255.1,24258.35
21,1730954220,838.0,838.0,838.0,838.0,,24221.75,24229.0,24220.2,24227.75
22,1730954280,838.0,838.0,838.0,838.0,400.0,24228.4,24237.0,24221.5,24234.85
23,1730956140,820.0,820.0,820.0,820.0,,24204.25,24204.45,24191.3,24199.3
24,1730956200,820.0,820.0,820.0,820.0,425.0,24199.25,24206.4,24194.05,24203.7
25,1730957220,857.7,857.7,857.7,857.7,575.0,24255.1,24256.1,24242.4,24245.25
26,1730957280,854.3,854.3,854.3,854.3,,24245.7,24250.9,24244.6,24246.95
27,1730957340,854.3,854.3,854.3,854.3,600.0,24248.3,24253.65,24248.3,24252.7
28,1730957460,851.4,851.4,851.4,851.4,775.0,24246.2,24250.1,24241.2,24242.15
29,1730958780,807.0,807.0,800.0,800.0,,24196.9,24202.55,24183.3,24197.35
30,1730958840,800.0,800.0,800.0,800.0,900.0,24197.1,24208.85,24197.1,24205.8
31,1730961240,808.0,808.0,808.0,808.0,,24199.8,24200.3,24195.5,24198.15
32,1730961300,808.0,808.0,808.0,808.0,1100.0,24197.15,24203.05,24195.1,24199.45
33,1730963940,835.0,835.0,835.0,835.0,,24228.65,24232.85,24226.65,24230.1
34,1730964000,835.0,835.0,835.0,835.0,1125.0,24230.75,24237.6,24229.1,24234.25
35,1730967060,811.0,811.0,811.0,811.0,1150.0,24196.0,24196.85,24188.25,24189.1
36,1730967240,800.0,800.0,800.0,800.0,,24190.75,24192.25,24180.45,24181.3
37,1730967300,800.0,800.0,800.0,800.0,1175.0,24181.15,24185.95,24180.05,24181.9
38,1730967480,810.0,810.0,810.0,810.0,1200.0,24196.8,24201.5,24194.5,24199.75
39,1730968680,810.0,810.0,810.0,810.0,1225.0,24208.35,24210.15,24204.3,24205.2
40,1730969820,808.0,808.0,808.0,808.0,,24192.45,24194.4,24190.75,24191.85
41,1730969880,808.0,808.0,808.0,808.0,1250.0,24192.9,24201.9,24192.4,24199.9
42,1730973120,805.0,805.0,805.0,805.0,,24198.1,24200.85,24194.25,24200.2
43,1730973180,802.1,802.1,802.1,802.1,1300.0,24200.05,24202.9,24199.95,24202.3
44,1730973480,800.0,800.0,800.0,800.0,,24199.95,24202.55,24191.35,24192.1
45,1731037500,729.05,729.05,729.05,729.05,100.0,24207.7,24220.45,24122.25,24125.9
